model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
triple_ensemble_GAZPF_60_1h.pkl,triple_ensemble_GAZPF_15_15min.pkl,GAZPF,10,7,3,70.0,60.86669215000012,60.86669215000013,10.30977944642857,-3.767254658333298,6.385592221235594,10.31579852081749,12.848359102266006
triple_ensemble_GAZPF_60_1h.pkl,quad_ensemble_GAZPF_15_15min.pkl,GAZPF,10,7,3,70.0,60.50687215000019,60.50687215000019,10.258376589285723,-3.767254658333298,6.353754713321266,10.31579852081749,12.824371544656678
quad_ensemble_GAZPF_60_1h.pkl,ensemble_GAZPF_15_15min.pkl,GAZPF,10,7,3,70.0,58.94927080000008,58.94927080000008,10.30977944642857,-4.406395108333311,5.459372446236611,12.065944106043679,11.90674710044703
quad_ensemble_GAZPF_60_1h.pkl,quad_ensemble_GAZPF_15_15min.pkl,GAZPF,10,7,3,70.0,58.82933080000009,58.82933080000009,10.258376589285723,-4.326435108333327,5.532548493692221,11.846991228010912,12.000426462275772
ensemble_GAZPF_60_1h.pkl,rf_GAZPF_15_15min.pkl,GAZPF,12,8,4,66.66666666666666,55.932339650000245,55.93233965000024,9.777757468750018,-5.572430024999973,3.5093334236171283,10.500745326685871,9.697502473294149
rf_GAZPF_60_1h.pkl,ensemble_GAZPF_15_15min.pkl,GAZPF,12,8,4,66.66666666666666,52.67623255000001,52.676232550000016,9.183332734375004,-5.19760733125,3.5336769975528153,12.14572434507812,9.375074051561828
rf_GAZPF_60_1h.pkl,triple_ensemble_GAZPF_15_15min.pkl,GAZPF,12,8,4,66.66666666666666,51.92633754999986,51.92633754999986,9.059610859374988,-5.137637331250012,3.5267615346335623,11.925323746685205,9.29770367088867
rf_GAZPF_60_1h.pkl,quad_ensemble_GAZPF_15_15min.pkl,GAZPF,12,8,4,66.66666666666666,50.53217004999985,50.53217004999985,8.885339921874987,-5.137637331250012,3.4589206473681315,11.925323746685205,9.204700215263589
ensemble_GAZPF_60_1h.pkl,ensemble_GAZPF_15_15min.pkl,GAZPF,11,7,4,63.63636363636363,49.28615215000016,49.28615215000016,10.206973732142853,-5.540665993749958,3.223836999270324,10.38400676582417,9.18111567346524
ensemble_GAZPF_60_1h.pkl,triple_ensemble_GAZPF_15_15min.pkl,GAZPF,11,7,4,63.63636363636363,49.28615215000016,49.28615215000016,10.206973732142853,-5.540665993749958,3.223836999270324,10.38400676582417,9.18111567346524
ensemble_GAZPF_60_1h.pkl,quad_ensemble_GAZPF_15_15min.pkl,GAZPF,11,7,4,63.63636363636363,48.926332150000235,48.926332150000235,10.155570875000006,-5.540665993749958,3.2076015863973133,10.38400676582417,9.15535770370597
triple_ensemble_GAZPF_60_1h.pkl,rf_GAZPF_15_mtf_15min.pkl,GAZPF,7,5,2,71.42857142857143,36.33695658750011,36.33695658750011,9.232923587500007,-4.913830674999955,4.69741643442979,4.454724762433692,11.570000865710028
ensemble_GAZPF_60_1h.pkl,rf_GAZPF_15_mtf_15min.pkl,GAZPF,7,5,2,71.42857142857143,36.334437637500116,36.334437637500116,9.232923587500007,-4.915090149999947,4.696212737573139,4.454820352026766,11.57000086571004
