model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
quad_ensemble_GKH6_60_1h.pkl,quad_ensemble_GKH6_15_15min.pkl,GKH6,30,21,9,70.0,997.2768637499976,19.945537274999953,58.84739732142851,-26.502053333333244,5.181130383482248,1.212728876192728,12.80142490487864
triple_ensemble_GKH6_60_1h.pkl,quad_ensemble_GKH6_15_15min.pkl,GKH6,30,21,9,70.0,997.2768637499976,19.945537274999953,58.84739732142851,-26.502053333333244,5.181130383482248,1.212728876192728,12.80142490487864
triple_ensemble_GKH6_60_1h.pkl,rf_GKH6_15_15min.pkl,GKH6,30,21,9,70.0,924.977448749999,18.49954897499998,56.36689196428562,-28.74747583333313,4.575105956404139,1.450633167907098,11.706842815378513
quad_ensemble_GKH6_60_1h.pkl,rf_GKH6_15_15min.pkl,GKH6,30,21,9,70.0,915.407729999999,18.30815459999998,55.91119107142848,-28.74747583333313,4.53811828870427,1.4507738740668314,11.541962115223564
triple_ensemble_GKH6_60_1h.pkl,triple_ensemble_GKH6_15_15min.pkl,GKH6,30,21,9,70.0,913.3446825000001,18.26689365,55.81552321428563,-28.753478333333092,4.529407514580731,1.4508477485204343,11.49269014179459
triple_ensemble_GKH6_60_1h.pkl,ensemble_GKH6_15_15min.pkl,GKH6,30,20,10,66.66666666666666,901.39420875,18.027884175,58.39150031249991,-26.643579749999816,4.3831572829473355,1.4515814828773808,11.291696875595376
quad_ensemble_GKH6_60_1h.pkl,ensemble_GKH6_15_15min.pkl,GKH6,30,20,10,66.66666666666666,895.3912087500012,17.907824175000023,57.94127531249991,-26.343429749999814,4.398916607470243,1.4538287826483425,11.232769978885084
quad_ensemble_GKH6_60_1h.pkl,triple_ensemble_GKH6_15_15min.pkl,GKH6,30,20,10,66.66666666666666,895.3356824999992,17.906713649999983,58.08947437499991,-26.64538049999978,4.3601910188522455,1.4530927752127623,11.189533716709485
ensemble_GKH6_60_1h.pkl,quad_ensemble_GKH6_15_15min.pkl,GKH6,30,20,10,66.66666666666666,894.3907949999975,17.88781589999995,58.98336374999991,-28.52764799999992,4.135171869058401,1.212728876192728,10.885450527035593
ensemble_GKH6_60_1h.pkl,rf_GKH6_15_15min.pkl,GKH6,30,20,10,66.66666666666666,813.398729999999,16.26797459999998,55.94420062499991,-30.548528249999816,3.662644574374888,2.253181178179667,9.78053407334923
ensemble_GKH6_60_1h.pkl,triple_ensemble_GKH6_15_15min.pkl,GKH6,30,19,11,63.33333333333333,795.4856325000001,15.909712650000001,58.19452302631568,-28.200936818181617,3.564343026902365,2.2569382637598627,9.518024342171566
rf_GKH6_60_1h.pkl,rf_GKH6_15_15min.pkl,GKH6,28,19,9,67.85714285714286,789.2669662499993,15.785339324999986,55.82026282894726,-30.146447499999738,3.909010409380213,2.375126279415702,10.293876578127561
ensemble_GKH6_60_1h.pkl,ensemble_GKH6_15_15min.pkl,GKH6,30,19,11,63.33333333333333,786.4781475,15.72956295,58.03639144736831,-28.746662727272586,3.487176131970934,2.2581043132744334,9.389991799761752
rf_GKH6_60_1h.pkl,quad_ensemble_GKH6_15_15min.pkl,GKH6,27,18,9,66.66666666666666,785.4819937499997,15.709639874999992,58.72810520833323,-30.180433333333085,3.8917999990060035,2.375126279415702,10.49065145334467
rf_GKH6_60_1h.pkl,triple_ensemble_GKH6_15_15min.pkl,GKH6,27,18,9,66.66666666666666,776.4774937500006,15.529549875000011,58.22785520833323,-30.180433333333085,3.8586493815529734,2.375126279415702,10.364083959899709
rf_GKH6_60_1h.pkl,ensemble_GKH6_15_15min.pkl,GKH6,25,15,10,60.0,570.413726249999,11.408274524999978,58.448441249999895,-30.63128924999981,2.862193006616605,2.376178248046221,7.826852418419301
xgb_GKH6_60_1h.pkl,triple_ensemble_GKH6_15_15min.pkl,GKH6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GKH6_60_1h.pkl,xgb_GKH6_15_15min.pkl,GKH6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GKH6_60_1h.pkl,rf_GKH6_15_15min.pkl,GKH6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GKH6_60_1h.pkl,ensemble_GKH6_15_15min.pkl,GKH6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GKH6_60_1h.pkl,quad_ensemble_GKH6_15_15min.pkl,GKH6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triple_ensemble_GKH6_60_1h.pkl,xgb_GKH6_15_15min.pkl,GKH6,4,1,3,25.0,-90.38429999999971,-1.8076859999999941,55.251,-48.54510000000018,0.37937917524116604,2.9127059999999982,-6.915882007797234
quad_ensemble_GKH6_60_1h.pkl,xgb_GKH6_15_15min.pkl,GKH6,4,1,3,25.0,-90.38429999999971,-1.8076859999999941,55.251,-48.54510000000018,0.37937917524116604,2.9127059999999982,-6.915882007797234
rf_GKH6_60_1h.pkl,xgb_GKH6_15_15min.pkl,GKH6,3,0,3,0.0,-151.53630750000048,-3.0307261500000093,0.0,-50.512102500000076,0.0,3.0307261500000093,-30.21591420479095
ensemble_GKH6_60_1h.pkl,xgb_GKH6_15_15min.pkl,GKH6,4,0,4,0.0,-180.34230000000025,-3.6068460000000053,0.0,-45.085575000000134,0.0,3.6068460000000053,-28.757193956615755
