model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
rf_GLDRUBF_60_1h.pkl,rf_GLDRUBF_15_15min.pkl,GLDRUBF,26,13,13,50.0,993.6679428534662,19.873358857069327,163.62629405785904,-87.19029845374652,1.8766571162118573,6.581510329916823,4.448872686712794
quad_ensemble_GLDRUBF_60_1h.pkl,quad_ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,26,11,15,42.30769230769231,624.9090258880324,12.498180517760646,172.5748658956916,-84.8942999309718,1.490734969953734,7.111110742268897,2.795598222746499
quad_ensemble_GLDRUBF_60_1h.pkl,triple_ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,26,11,15,42.30769230769231,618.136830763031,12.36273661526062,172.61823186160066,-85.37758131430515,1.4826691201190545,7.07911985817371,2.7599957071070036
ensemble_GLDRUBF_60_1h.pkl,rf_GLDRUBF_15_15min.pkl,GLDRUBF,28,13,15,46.42857142857143,465.3524634688856,9.307049269377712,152.18309189439762,-100.86851541055233,1.3075637371911473,13.585906288363272,2.027733074013402
quad_ensemble_GLDRUBF_60_1h.pkl,rf_GLDRUBF_15_15min.pkl,GLDRUBF,27,11,16,40.74074074074074,7.609558388032383,0.15219116776064764,147.67989964569153,-101.054333607161,1.0047063533277134,13.579729769078556,0.11696756408143456
xgb_GLDRUBF_60_1h.pkl,triple_ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_GLDRUBF_60_1h.pkl,xgb_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quad_ensemble_GLDRUBF_60_1h.pkl,xgb_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_GLDRUBF_60_1h.pkl,xgb_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GLDRUBF_60_1h.pkl,xgb_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GLDRUBF_60_1h.pkl,rf_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triple_ensemble_GLDRUBF_60_1h.pkl,xgb_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GLDRUBF_60_1h.pkl,ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_GLDRUBF_60_1h.pkl,quad_ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triple_ensemble_GLDRUBF_60_1h.pkl,rf_GLDRUBF_15_15min.pkl,GLDRUBF,27,11,16,40.74074074074074,-84.75035040610965,-1.695007008122193,145.76435036383342,-105.50988777551764,0.9497971516029683,19.191580952706694,-0.27177678886274037
rf_GLDRUBF_60_1h.pkl,ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,29,9,20,31.03448275862069,-239.28702014077498,-4.7857404028155,169.5000126444739,-88.23935669705212,0.8644102648196371,11.172135347373308,-1.0669168728081768
rf_GLDRUBF_60_1h.pkl,triple_ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,31,10,21,32.25806451612903,-436.0018961864189,-8.720037923728379,149.2211294425265,-91.81967574341363,0.7738829407923983,15.919993133421762,-1.7719653862660347
triple_ensemble_GLDRUBF_60_1h.pkl,quad_ensemble_GLDRUBF_15_15min.pkl,GLDRUBF,29,10,19,34.48275862068966,-470.65688422301173,-9.413137684460235,141.34693704776066,-99.16453972108543,0.7501988611172975,18.962620721179796,-2.0086190572581497
