model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
rf_RLH6_60_1h.pkl,triple_ensemble_RLH6_15_mtf_15min.pkl,RLH6,28,17,11,60.71428571428571,533.8372025000044,10.676744050000089,48.19235514705879,-25.948439545454406,2.8702725721797346,0.9162581821477827,7.91173104664559
rf_RLH6_60_1h.pkl,rf_RLH6_15_mtf_15min.pkl,RLH6,30,18,12,60.0,439.1168125000022,8.782336250000045,44.25392291666661,-29.787816666666515,2.2284575307354486,1.895790422331705,5.999414252281568
rf_RLH6_60_1h.pkl,quad_ensemble_RLH6_15_15min.pkl,RLH6,27,16,11,59.25925925925925,375.236945000006,7.50473890000012,44.35393281249998,-30.402361818181635,2.12203287854611,1.9359033179849872,5.581677611528271
quad_ensemble_RLH6_60_1h.pkl,triple_ensemble_RLH6_15_mtf_15min.pkl,RLH6,26,15,11,57.692307692307686,367.2614900000035,7.34522980000007,46.832678333333284,-30.475334999999884,2.095555083539471,2.3793487951782275,5.585325274535453
quad_ensemble_RLH6_60_1h.pkl,rf_RLH6_15_15min.pkl,RLH6,28,15,13,53.57142857142857,356.52586750000137,7.130517350000027,47.13932499999994,-26.966462115384438,2.0170064806210997,2.4042402250638197,5.169919393052599
ensemble_RLH6_60_1h.pkl,triple_ensemble_RLH6_15_mtf_15min.pkl,RLH6,29,16,13,55.172413793103445,349.45765875000325,6.989153175000065,46.10000117187494,-29.8571046153845,1.9003337300005132,2.35021299647324,4.810136083137861
rf_RLH6_60_1h.pkl,rf_RLH6_15_15min.pkl,RLH6,29,16,13,55.172413793103445,332.1512600000042,6.643025200000084,44.35449531249998,-29.04005115384598,1.8798227244063686,1.9331914573260853,4.636294884525212
quad_ensemble_RLH6_60_1h.pkl,rf_RLH6_15_mtf_15min.pkl,RLH6,29,15,14,51.724137931034484,309.8672325000025,6.19734465000005,46.93875833333329,-28.158153035714147,1.7860378385587796,2.937759720646188,4.29852592646644
rf_RLH6_60_1h.pkl,ensemble_RLH6_15_15min.pkl,RLH6,27,15,12,55.55555555555556,301.2039400000067,6.024078800000134,44.174028333333304,-30.117207083333184,1.8334215142819115,1.9624838576726287,4.463880213054369
triple_ensemble_RLH6_60_1h.pkl,triple_ensemble_RLH6_15_mtf_15min.pkl,RLH6,28,15,13,53.57142857142857,296.5871449999995,5.93174289999999,45.658541666666615,-29.868536923076835,1.7638270273494412,2.791137973493953,4.241138158095211
triple_ensemble_RLH6_60_1h.pkl,ensemble_RLH6_15_mtf_15min.pkl,RLH6,29,15,14,51.724137931034484,279.18687000000045,5.583737400000009,45.56912333333326,-28.882141428571344,1.6904584736222836,3.137263840514671,3.8937180547093377
quad_ensemble_RLH6_60_1h.pkl,quad_ensemble_RLH6_15_mtf_15min.pkl,RLH6,25,13,12,52.0,241.84710250000262,4.836942050000053,46.2242961538461,-29.922395624999893,1.6735398281912615,2.444253747878028,3.848409405719551
ensemble_RLH6_60_1h.pkl,ensemble_RLH6_15_15min.pkl,RLH6,29,14,15,48.275862068965516,240.67676875000507,4.813535375000101,46.29818526785713,-27.166521666666526,1.590620989817561,2.414727610499199,3.3521498213312424
quad_ensemble_RLH6_60_1h.pkl,triple_ensemble_RLH6_15_15min.pkl,RLH6,26,13,13,50.0,239.06831375000365,4.781366275000073,46.78036201923074,-28.390491730769096,1.6477475086678772,2.6253127028226504,3.6440824522845854
ensemble_RLH6_60_1h.pkl,quad_ensemble_RLH6_15_mtf_15min.pkl,RLH6,28,14,14,50.0,233.97381500000301,4.67947630000006,46.13973124999996,-29.42731589285704,1.5679218389469074,2.4102081148382917,3.335543249851968
ensemble_RLH6_60_1h.pkl,rf_RLH6_15_15min.pkl,RLH6,30,14,16,46.666666666666664,213.88023125000473,4.2776046250000945,46.22849508928566,-27.08241874999983,1.4935864324572266,2.430854610689362,2.901589171821457
quad_ensemble_RLH6_60_1h.pkl,ensemble_RLH6_15_15min.pkl,RLH6,27,13,14,48.148148148148145,210.08876875000442,4.201775375000088,45.885839903846104,-27.601939285714145,1.5436697932585801,2.4663506657569503,3.1366803103541456
ensemble_RLH6_60_1h.pkl,rf_RLH6_15_mtf_15min.pkl,RLH6,33,15,18,45.45454545454545,206.4008012500026,4.1280160250000515,46.24558458333328,-27.071275972222068,1.4235748323175348,3.2525666235078345,2.5648495929754294
quad_ensemble_RLH6_60_1h.pkl,quad_ensemble_RLH6_15_15min.pkl,RLH6,27,13,14,48.148148148148145,200.5990262500036,4.011980525000071,45.885839903846104,-28.279778035714155,1.506669531030435,2.6442188727927034,2.975529999127082
