model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
ensemble_S1H6_60_1h.pkl,ensemble_S1H6_15_mtf_15min.pkl,S1H6,56,35,21,62.5,3429.1985243839135,68.58397048767827,131.67193088990476,-56.158050322035876,3.907778437666488,3.03369863858076,8.312401800166617
triple_ensemble_S1H6_60_1h.pkl,ensemble_S1H6_15_mtf_15min.pkl,S1H6,55,34,21,61.81818181818181,3316.534028171358,66.33068056342715,132.06909843359276,-55.89596755099019,3.825430862675641,3.07227916106166,8.130463382771156
quad_ensemble_S1H6_60_1h.pkl,ensemble_S1H6_15_mtf_15min.pkl,S1H6,55,34,21,61.81818181818181,3302.5763956313876,66.05152791262775,131.65661776892966,-55.8927908815342,3.8136999453550473,3.0720212330111623,8.094051794267502
quad_ensemble_S1H6_60_1h.pkl,rf_S1H6_15_mtf_15min.pkl,S1H6,53,34,19,64.15094339622641,2593.8027093625524,51.87605418725105,121.54210967458081,-80.98047471437866,2.6857882415879946,12.461511030799672,6.389768626937267
ensemble_S1H6_60_1h.pkl,rf_S1H6_15_mtf_15min.pkl,S1H6,52,34,18,65.38461538461539,2582.3001364132606,51.646002728265216,120.30036188295537,-83.77289820040113,2.7125003643354773,12.461511030799672,6.44785201121129
quad_ensemble_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_mtf_15min.pkl,S1H6,52,34,18,65.38461538461539,2574.4592470601174,51.489184941202346,120.17612436756795,-83.97383230206609,2.7032152731946164,12.461511030799672,6.454902899875102
quad_ensemble_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_15min.pkl,S1H6,51,33,18,64.70588235294117,2507.452972469814,50.14905944939628,122.98920391075667,-86.17726425473069,2.6164697744781673,12.461511030799672,6.289018747665058
triple_ensemble_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_15min.pkl,S1H6,51,33,18,64.70588235294117,2502.9722323709584,50.05944464741917,122.853423907761,-86.17726425473069,2.6135811935091056,12.46273637388591,6.278168024594652
quad_ensemble_S1H6_60_1h.pkl,rf_S1H6_15_15min.pkl,S1H6,51,33,18,64.70588235294117,2496.993873739825,49.9398774747965,122.76568678709559,-86.34854390190714,2.6065341186531694,12.461511030799672,6.26055813458576
quad_ensemble_S1H6_60_1h.pkl,ensemble_S1H6_15_15min.pkl,S1H6,51,33,18,64.70588235294117,2488.8622724698134,49.77724544939627,122.42584936530211,-86.17726425473069,2.6044849815562916,12.461511030799672,6.242581631796975
triple_ensemble_S1H6_60_1h.pkl,ensemble_S1H6_15_15min.pkl,S1H6,52,33,19,63.46153846153846,2472.478268719815,49.4495653743963,122.86949106984757,-83.27447034658692,2.562669022741055,12.461511030799672,6.117821292129096
ensemble_S1H6_60_1h.pkl,ensemble_S1H6_15_15min.pkl,S1H6,52,33,19,63.46153846153846,2470.545059181577,49.41090118363154,122.99482247486267,-83.59389907836245,2.5554805884034097,12.208932246510768,6.098269060541935
triple_ensemble_S1H6_60_1h.pkl,rf_S1H6_15_mtf_15min.pkl,S1H6,53,33,20,62.264150943396224,2464.396966850679,49.287939337013576,121.60427352799621,-77.42720297865972,2.5914283817858648,12.734346532454202,6.075059698279805
ensemble_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_15min.pkl,S1H6,52,33,19,63.46153846153846,2464.3032548269703,49.2860650965394,122.80567688835941,-83.59389907836245,2.55155068416057,12.21866121799381,6.088643286933564
triple_ensemble_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_mtf_15min.pkl,S1H6,51,33,18,64.70588235294117,2455.766402487973,49.11532804975947,120.22107224015657,-83.97383230206609,2.624690252483939,12.732421519225767,6.234231424420838
ensemble_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_mtf_15min.pkl,S1H6,54,34,20,62.96296296296296,2455.726486077898,49.11452972155795,119.4291149186232,-80.24317105776439,2.53017786666862,12.582125000991997,5.977918583856241
rf_S1H6_60_1h.pkl,rf_S1H6_15_15min.pkl,S1H6,48,31,17,64.58333333333334,2445.182954156612,48.90365908313225,126.23291312067555,-86.35513838731343,2.6656135825509626,12.461511030799672,6.382497452103211
ensemble_S1H6_60_1h.pkl,rf_S1H6_15_15min.pkl,S1H6,52,33,19,63.46153846153846,2407.029508764358,48.140590175287166,121.58995595333433,-84.49679145766704,2.499296735813295,12.582125000991997,5.940389726241715
rf_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_mtf_15min.pkl,S1H6,46,30,16,65.21739130434783,2382.500725531876,47.650014510637526,125.83854680247191,-87.04097990889255,2.7107607876382533,12.461511030799672,6.458602272158855
triple_ensemble_S1H6_60_1h.pkl,rf_S1H6_15_15min.pkl,S1H6,50,32,18,64.0,2381.4536949779513,47.629073899559025,122.99148391288382,-86.34854390190714,2.532197036288515,12.734346532454202,6.046459685036977
quad_ensemble_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_mtf_15min.pkl,S1H6,55,33,22,60.0,2353.839833979565,47.0767966795913,121.07741222618475,-74.62339861293324,2.4337690552169597,12.461511030799672,5.65377154896213
triple_ensemble_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_mtf_15min.pkl,S1H6,55,33,22,60.0,2349.359093880709,46.987181877614184,120.94163222318909,-74.62339861293324,2.4310397503571,12.46273637388591,5.643548648212516
triple_ensemble_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_15min.pkl,S1H6,52,32,20,61.53846153846154,2316.1076212164307,46.322152424328614,123.12346514008831,-81.1921631633196,2.4263123009529504,12.732421519225767,5.720022537321457
rf_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_mtf_15min.pkl,S1H6,49,30,19,61.224489795918366,2295.224352419272,45.904487048385434,126.25603889372677,-78.55035865223847,2.537883260865736,12.461511030799672,5.943479281819628
ensemble_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_15min.pkl,S1H6,54,32,22,59.25925925925925,2233.392700038994,44.667854000779876,123.29670427095215,-77.822810755976,2.304474215408329,12.582125000991997,5.353987998015359
xgb_S1H6_60_1h.pkl,rf_S1H6_15_mtf_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quad_ensemble_S1H6_60_1h.pkl,xgb_S1H6_15_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triple_ensemble_S1H6_60_1h.pkl,xgb_S1H6_15_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,ensemble_S1H6_15_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_mtf_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,ensemble_S1H6_15_mtf_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,quad_ensemble_S1H6_15_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,rf_S1H6_15_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,xgb_S1H6_15_mtf_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgb_S1H6_60_1h.pkl,triple_ensemble_S1H6_15_15min.pkl,S1H6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triple_ensemble_S1H6_60_1h.pkl,xgb_S1H6_15_mtf_15min.pkl,S1H6,13,4,9,30.76923076923077,-48.29716798231857,-0.9659433596463713,72.39251894158592,-37.54080486096226,0.857052825108299,2.4720986801685285,-1.1561097817252834
rf_S1H6_60_1h.pkl,xgb_S1H6_15_mtf_15min.pkl,S1H6,7,2,5,28.57142857142857,-56.49670281625549,-1.12993405632511,68.6150453831718,-38.74535871651969,0.7083691843990254,1.9648139326435192,-2.6326397859701274
