figi,ticker,name,current_price,lot_size,price_step,lot_value,margin_per_lot,margin_pct_of_balance,volatility_pct,avg_volume_lots,avg_volume_rub,score,date_analyzed,analysis_period_days
FUTMMI062600,MAM6,MMI-6.26 Индекс металлов и добычи,7221.0,1.0,1.0,7221.0,1083.1499999999999,21.662999999999997,2.8241042989692757,812.0,5863452.0,98.24104298969274,2026-02-12T22:10:48.940221,30
FUTSILVM0326,S1H6,SILVM-3.26 Серебро (мини),77.98,1.0,0.01,77.98,11.697000000000001,0.23394,2.0032609093906864,26140905.0,2038467771.9,90.03260909390686,2026-02-12T22:29:54.528044,30
FUTSILV03260,SVH6,SILV-3.26 Серебро,78.0,1.0,0.01,78.0,11.7,0.234,1.9926739926739945,55811327.0,4353283506.0,89.92673992673994,2026-02-12T22:27:45.554193,30
FUTSILV06260,SVM6,SILV-6.26 Серебро,80.63,1.0,0.01,80.63,12.094499999999998,0.24188999999999994,1.8594638649208919,2419824.0,195110409.11999997,88.59463864920892,2026-02-12T21:54:33.535829,30
FUTSILVM0626,S1M6,SILVM-6.26 Серебро (мини),80.11,1.0,0.01,80.11,12.016499999999999,0.24032999999999996,1.8269522264029798,1024950.0,82108744.5,88.26952226402979,2026-02-12T22:04:01.721734,30
FUTMMI032600,MAH6,MMI-3.26 Индекс металлов и добычи,7088.0,1.0,1.0,7088.0,1063.2,21.264,1.7877297645920671,731.0,5181328.0,87.87729764592068,2026-02-12T21:51:44.339584,30
FUTSILVM0926,S1U6,SILVM-9.26 Серебро (мини),81.73,1.0,0.01,81.73,12.259500000000001,0.24519000000000005,1.720822918669484,183361.0,14986094.530000001,87.20822918669484,2026-02-12T22:18:18.766310,30
FUTSILV09260,SVU6,SILV-9.26 Серебро,82.04,1.0,0.01,82.04,12.306000000000001,0.24612,1.6882008776206718,206158.0,16913202.32,86.8820087762067,2026-02-12T21:59:11.952041,30
FUTSILVM1226,S1Z6,SILVM-12.26 Серебро (мини),84.81,1.0,0.01,84.81,12.7215,0.25443000000000005,1.6111644516313794,118039.0,10010887.59,86.11164451631379,2026-02-12T22:01:42.465432,30
FUTTTF022600,FFG6,TTF-2.26 Природный газ Датч ТТФ,33.005,1.0,0.005,33.005,4.95075,0.09901499999999999,1.5830934706862574,340379.0,11234208.895000001,85.83093470686256,2026-02-12T22:01:30.217022,30
FUTSILV12260,SVZ6,SILV-12.26 Серебро,83.88,1.0,0.01,83.88,12.581999999999999,0.25164,1.5276926221132217,79052.0,6630881.76,85.27692622113221,2026-02-12T21:52:23.642118,30
FUTETH032600,EHH6,ETH-3.26 Эфириум,2000.4,1.0,0.1,2000.4,300.06,6.0012,1.5250521324306572,396976.0,794110790.4000001,85.25052132430656,2026-02-12T22:30:19.679709,30
FUTPLT032600,PTH6,PLT-3.26 Платина,2045.0,1.0,0.1,2045.0,306.75,6.135,1.5246245197345474,2371712.0,4850151040.0,85.24624519734547,2026-02-12T21:45:51.583927,30
FUTNGM022600,NRG6,NGM-2.26 Природный газ (микро),3.203,1.0,0.001,3.203,0.48044999999999993,0.009608999999999998,1.51420543240712,148736906.0,476404309.918,85.1420543240712,2026-02-12T22:13:24.020435,30
FUTNG0226000,NGG6,NG-2.26 Природный газ,3.208,1.0,0.001,3.208,0.4812,0.009624,1.471767011043819,29445499.0,94461160.79200001,84.71767011043818,2026-02-12T22:04:53.987167,30
