figi,ticker,name,current_price,lot_size,price_step,lot_value,margin_per_lot,margin_pct_of_balance,max_lots_available,volatility_pct,avg_volume_lots,avg_volume_rub,score,date_analyzed,analysis_period_days
FUTPLT092600,PTU6,PLT-9.26 Платина,2186.0,1.0,0.1,2186.0,61.951240000000006,1.2390248000000001,80,1.1769703306757282,5747.0,12562942.0,81.76970330675728,2026-02-16T18:19:08.204202,30
FUTPLT122600,PTZ6,PLT-12.26 Платина,2246.1,1.0,0.1,2246.1,63.654474,1.2730894799999999,78,1.1706004693850305,3024.0,6792206.399999999,81.7060046938503,2026-02-16T18:09:45.007604,30
FUTPLD122600,PDZ6,PLD-12.26 Палладий,1901.8,1.0,0.01,1901.8,4.9503854,0.09900770799999999,1010,0.9896263690038009,1840.0,3499312.0,79.89626369003801,2026-02-16T18:11:00.324012,30
FUTSILV03260,SVH6,SILV-3.26 Серебро,77.88,1.0,0.01,77.88,0.21557184,0.0043114367999999995,23194,0.842871817448091,750756.0,58468877.279999994,78.4287181744809,2026-02-16T18:18:26.152987,30
FUTSVCB03260,SCH6,SVCB-3.26 Совкомбанк,1421.0,1.0,1.0,1421.0,304.6624,6.093248,16,0.8193425153312556,1956389.0,2780028769.0,78.19342515331256,2026-02-16T18:11:28.914280,30
FUTSILVM0326,S1H6,SILVM-3.26 Серебро (мини),77.9,1.0,0.01,77.9,0.21500400000000003,0.00430008,23255,0.818815331010451,470759.0,36672126.1,78.1881533101045,2026-02-16T18:18:54.806089,30
FUTSILV06260,SVM6,SILV-6.26 Серебро,79.47,1.0,0.01,79.47,0.21997296,0.0043994592,22730,0.7972460407341486,2233122.0,177466205.34,77.97246040734149,2026-02-16T18:07:58.717156,30
FUTPLD032600,PDH6,PLD-3.26 Палладий,1709.99,1.0,0.01,1709.99,4.45110397,0.08902207940000001,1123,0.7926529227823387,1356313.0,2319281666.87,77.92652922782338,2026-02-16T18:08:26.417154,30
FUTSILVM0626,S1M6,SILVM-6.26 Серебро (мини),79.77,1.0,0.01,79.77,0.2201652,0.004403304,22710,0.7745482548039906,1038639.0,82852233.03,77.7454825480399,2026-02-16T18:12:22.087755,30
FUTVTBR03260,VBH6,VTBR-3.26 ВТБ,8855.0,1.0,1.0,8855.0,2317.3534999999997,46.347069999999995,2,0.7598612567556667,685405.0,6069261275.0,77.59861256755667,2026-02-16T18:11:16.408315,30
FUTSILV09260,SVU6,SILV-9.26 Серебро,81.14,1.0,0.01,81.14,0.22459552,0.0044919104,22262,0.7403429698228783,184997.0,15010656.58,77.40342969822878,2026-02-16T18:09:57.383690,30
FUTVTBR06260,VBM6,VTBR-6.26 ВТБ,9128.0,1.0,1.0,9128.0,2388.7976,47.775952,2,0.7269625641667711,223792.0,2042773376.0,77.2696256416677,2026-02-16T18:11:54.546696,30
FUTSILVM1226,S1Z6,SILVM-12.26 Серебро (мини),83.47,1.0,0.01,83.47,0.23037720000000003,0.004607544000000001,21703,0.7205326122302282,119030.0,9935434.1,77.20532612230228,2026-02-16T18:11:12.767882,30
FUTSILVM0926,S1U6,SILVM-9.26 Серебро (мини),81.56,1.0,0.01,81.56,0.22510560000000002,0.004502112,22211,0.6953688783016909,184359.0,15036320.040000001,76.9536887830169,2026-02-16T18:16:28.569550,30
FUTSVCB06260,SCM6,SVCB-6.26 Совкомбанк,1474.0,1.0,1.0,1474.0,316.0256,6.320512000000001,15,0.6929637526652451,109035.0,160717590.0,76.92963752665246,2026-02-16T18:05:58.532307,30
FUTSILV12260,SVZ6,SILV-12.26 Серебро,83.2,1.0,0.01,83.2,0.2328768,0.0046575359999999994,21470,0.6902472527472521,74951.0,6235923.2,76.90247252747251,2026-02-16T18:07:32.085774,30
FUTSGZH03260,SZH6,SGZH-3.26 Сегежа,1308.0,1.0,1.0,1308.0,546.744,10.934880000000001,9,0.6880733944954129,349988.0,457784304.0,76.88073394495413,2026-02-16T18:17:52.980366,30
FUTSGZH06260,SZM6,SGZH-6.26 Сегежа,1341.0,1.0,1.0,1341.0,569.5227,11.390454,8,0.6871204857782038,10885.0,14596785.0,76.87120485778203,2026-02-16T18:09:32.490253,30
FUTPLT032600,PTH6,PLT-3.26 Платина,2033.2,1.0,0.1,2033.2,57.620888,1.1524177599999998,86,0.6745172985582208,17180.0,34930376.0,76.7451729855822,2026-02-16T18:05:16.237496,30
FUTFEES03260,FSH6,FEES-3.26 ФСК Россети,7559.0,1.0,1.0,7559.0,1218.5108,24.370216,4,0.6444541039064124,68849.0,520429591.0,76.44454103906412,2026-02-16T18:08:39.044689,30
FUTGMKN06260,GKM6,GMKN-6.26 Норильский никель,1595.0,1.0,1.0,1595.0,318.84049999999996,6.376809999999999,15,0.6403940886699506,180225.0,287458875.0,76.4039408866995,2026-02-16T18:07:19.050353,30
FUTPOSI03260,PSH6,POSI-3.26 Positive Technologies,1137.0,1.0,1.0,1137.0,286.18289999999996,5.7236579999999995,17,0.6282196255811031,424594.0,482763378.0,76.28219625581103,2026-02-16T18:13:00.192772,30
FUTBELUG0626,NBM6,BELUGA-6.26 НоваБев Групп,441.0,1.0,1.0,441.0,97.41690000000001,1.9483380000000001,51,0.6154842889536768,33625.0,14828625.0,76.15484288953677,2026-02-16T18:08:51.452781,30
FUTMGNT03260,MNH6,MGNT-3.26 Магнит,3316.0,1.0,1.0,3316.0,553.772,11.07544,9,0.600982250560055,660690.0,2190848040.0,76.00982250560054,2026-02-16T18:14:55.998304,30
FUTPLD062600,PDM6,PLD-6.26 Палладий,1788.1,1.0,0.01,1788.1,4.6544243,0.093088486,1074,0.5966029384741981,43505.0,77791290.5,75.96602938474197,2026-02-16T18:15:50.401070,30
